,location,url,lat,lng,text
0,'s-Hertogenbosch Oost,/locatie/Hto001,51.700878,5.319214,3 fietsen beschikbaar
1,'t Harde,/locatie/Hde001,52.408791,5.89185,1 fietsen beschikbaar
2,Aalten,/locatie/atn001,51.92161,6.57929,4 fietsen beschikbaar
3,Alkmaar,/locatie/amr001,52.63753,4.73985,75 fietsen beschikbaar
4,Alkmaar Noord,/locatie/amrn003,52.64396,4.76371,22 fietsen beschikbaar
5,Almelo,/locatie/aml001,52.35614,6.65732,6 fietsen beschikbaar
6,Almere Centrum,/locatie/alm003,52.37462,5.21781,1 fietsen beschikbaar
7,Alphen aan den Rijn,/locatie/apn001,52.12492,4.65789,9 fietsen beschikbaar
8,Amersfoort Centraal,/locatie/amf001,52.15293,5.37481,59 fietsen beschikbaar
9,Amersfoort Mondriaanplein,/locatie/amf002,52.15446,5.37339,29 fietsen beschikbaar
10,Amersfoort Schothorst,/locatie/amfs001,52.1746,5.40462,4 fietsen beschikbaar
11,Amersfoort Vathorst,/locatie/avat001,52.19261,5.43362,1 fietsen beschikbaar
12,Amsterdam Amstel,/locatie/asa001,52.34701,4.91875,19 fietsen beschikbaar
13,Amsterdam Bijlmer ArenA,/locatie/asb003,52.311914,4.948114,Geen actuele beschikbaarheid.
14,Amsterdam Centraal IJzijde,/locatie/asd008,52.380095,4.898784,3 fietsen beschikbaar
15,Amsterdam Centraal Oost,/locatie/asd002,52.37785,4.902062,52 fietsen beschikbaar
16,Amsterdam Centraal West,/locatie/asd007,52.379587,4.896882,212 fietsen beschikbaar
17,Amsterdam Lelyplein,/locatie/asdl001,52.35864,4.8339,11 fietsen beschikbaar
18,Amsterdam Muiderpoort,/locatie/asdm001,52.3604,4.93093,12 fietsen beschikbaar
19,Amsterdam Noord,/locatie/asd009,52.402374,4.931019,15 fietsen beschikbaar
20,Amsterdam RAI,/locatie/rai001,52.33725,4.89075,42 fietsen beschikbaar
21,Amsterdam Sloterdijk,/locatie/ass001,52.38903,4.83707,35 fietsen beschikbaar
22,Amsterdam Zuid Mahlerplein,/locatie/asdz003,52.336448,4.873438,34 fietsen beschikbaar
23,Amsterdam Zuid Zuidplein,/locatie/asdz001,52.340294,4.873381,42 fietsen beschikbaar
24,Anna Paulowna,/locatie/ana001,52.86759,4.81198,Geen actuele beschikbaarheid.
25,Apeldoorn,/locatie/apd001,52.209578,5.9692,179 fietsen beschikbaar
26,Appingedam,/locatie/Apg001,53.325252,6.863617,3 fietsen beschikbaar
27,Arnhem Centrum,/locatie/ah001,51.9835,5.90126,140 fietsen beschikbaar
28,Assen,/locatie/asn001,52.99185,6.570329,187 fietsen beschikbaar
29,Baarn,/locatie/brn001,52.20787,5.28219,2 fietsen beschikbaar
30,Barendrecht,/locatie/brd001,51.853419,4.554166,22 fietsen beschikbaar
